,id,is_free,price,total_positive_reviews,total_negative_reviews,Adventure,Casual,Indie,RPG,Action,Strategy,Simulation,Sports,Massively Multiplayer,Violent,Free to Play,Early Access,Gore,Nudity,Single-player,Steam Trading Cards,Steam Cloud,Partial Controller Support,Full controller support,Multi-player,Steam Achievements,Steam Workshop,Co-op,Steam Leaderboards,Online Co-op,Local Co-op,Shared/Split Screen,Stats,Online Multi-Player,Cross-Platform Multiplayer,SteamVR Collectibles,Local Multi-Player,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Valve Anti-Cheat enabled,Commentary available,Captions available,Includes level editor,In-App Purchases,VR Support,MMO,tag_action,tag_atmospheric,tag_co,tag_fantasy,tag_fi,tag_great,tag_indie,tag_multiplayer,tag_op,tag_open,tag_person,tag_rich,tag_rpg,tag_sci,tag_soundtrack,tag_story,tag_strategy,tag_world,pyear,pmonth,pday,ryear,rmonth,rday,delta_days,scores,playtime_forever
10,10,False,6800.0,5893.0,700.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.25,0.23,0.0,0.49,0.0,0.0,0.0,0.0,0.24,2018.0,1.0,30.0,2010,9,23,2686.0,89.38267859851358,0.0
11,11,False,2500.0,148.0,35.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0,0.0,0.0,0.38,0.27,0.25,0.0,0.0,0.33,0.0,0.0,0.33,0.38,0.27,0.0,0.35,0.32,2017.0,6.0,23.0,2013,11,13,1318.0,80.87431693989072,0.0
12,12,True,0.0,110.0,260.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,7.0,20.0,2018,12,11,221.0,29.72972972972973,0.0
13,13,False,3300.0,9659.0,1058.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.35,0.0,0.53,0.0,0.0,0.0,0.18,0.22,0.53,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2016.0,10.0,9.0,2016,8,31,39.0,90.1278342819819,20.566666666666666
14,14,False,5700.0,5871.0,551.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.14,0.0,0.63,0.0,0.0,0.15,0.14,0.35,0.63,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,2018.0,6.0,13.0,2016,8,3,679.0,91.42011834319527,0.6333333333333333
15,15,True,0.0,167.0,30.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.42,0.49,0.23,0.42,0.0,0.0,0.0,0.0,0.0,0.24,0.22,2017.0,9.0,16.0,2010,7,6,2629.0,84.77157360406092,0.016666666666666666
16,16,False,6800.0,21566.0,1289.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.18,0.5,0.26,0.0,0.0,0.17,0.21,0.5,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,2018.0,1.0,13.0,2012,9,20,1941.0,94.36009625902429,3.3
17,17,False,11200.0,43103.0,4042.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.46,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.46,0.0,0.0,0.42,0.39,2019.0,5.0,30.0,2015,4,27,1494.0,91.42645031286457,0.0
18,18,False,11200.0,30934.0,7777.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.22,0.0,0.0,0.31,0.22,0.0,0.25,0.0,0.27,0.0,0.25,0.0,0.31,0.22,0.25,0.58,0.27,2018.0,2.0,18.0,2016,5,9,650.0,79.91010307147839,0.0
19,19,False,3600.0,74.0,115.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.48,0.34,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.34,0.0,0.45,0.0,2018.0,12.0,21.0,2015,4,16,1345.0,39.15343915343915,0.0
20,20,False,6800.0,1122.0,248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2018.0,1.0,30.0,2010,11,26,2622.0,81.89781021897811,0.16666666666666666
21,21,False,8800.0,8406.0,1780.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.0,0.26,0.25,0.18,0.17,0.2,0.0,0.22,0.0,0.0,0.22,0.25,0.18,0.0,0.7,0.22,2016.0,11.0,28.0,2014,9,18,802.0,82.52503436088749,1.6166666666666667
22,22,False,8800.0,20437.0,1847.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.24,0.0,0.69,0.0,0.0,0.23,0.0,0.0,0.0,0.28,0.27,0.0,0.0,0.0,0.27,0.0,0.0,2018.0,5.0,16.0,2017,8,7,282.0,91.71154191348052,0.0
23,23,True,0.0,2.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,11.0,19.0,2016,6,3,534.0,100.0,0.05
24,24,False,12900.0,6812.0,1458.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.17,0.23,0.0,0.24,0.17,0.16,0.2,0.23,0.21,0.0,0.0,0.21,0.24,0.17,0.0,0.68,0.21,2019.0,4.0,2.0,2017,5,18,684.0,82.37001209189843,0.0
25,25,False,9900.0,9566.0,517.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.2,0.0,0.0,0.29,0.2,0.0,0.0,0.0,0.0,0.47,0.23,0.5,0.29,0.2,0.23,0.0,0.0,2018.0,5.0,9.0,2010,1,28,3023.0,94.87255777050481,0.0
26,26,False,1500.0,5001.0,597.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.44,0.0,0.31,0.29,0.0,0.0,0.0,0.0,0.34,0.38,0.0,0.31,0.34,0.4,0.0,2017.0,12.0,9.0,2016,8,11,485.0,89.33547695605574,0.21666666666666667
27,27,False,4800.0,3457.0,372.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.36,0.0,0.0,0.0,0.36,0.34,0.0,0.0,0.0,0.42,0.4,0.0,0.0,0.36,0.41,0.0,0.0,2019.0,6.0,27.0,2015,1,26,1613.0,90.28466962653434,0.0
28,28,False,4800.0,329.0,73.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.33,0.41,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.47,0.0,2018.0,12.0,21.0,2009,11,16,3322.0,81.8407960199005,0.0
29,29,False,6800.0,36322.0,1542.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.22,0.6,0.0,0.0,0.22,0.21,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,2017.0,10.0,2.0,2017,9,29,3.0,95.92753010775407,4.216666666666667
30,30,False,6800.0,1270.0,73.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.18,0.0,0.53,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.21,0.69,0.0,0.19,0.21,0.24,0.0,2017.0,12.0,10.0,2017,4,11,243.0,94.56440804169769,4.266666666666667
31,31,False,7000.0,4640.0,212.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.14,0.0,0.65,0.0,0.0,0.16,0.15,0.18,0.65,0.0,0.0,0.0,0.2,0.0,0.16,0.0,0.0,0.0,2018.0,3.0,18.0,2019,7,12,-481.0,95.63066776586975,4.333333333333333
32,32,False,7000.0,1107.0,64.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,2.0,28.0,2016,9,22,524.0,94.53458582408199,2.1
33,33,False,4300.0,1887.0,179.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,7.0,2.0,2019,1,17,-199.0,91.33591481122943,0.9166666666666666
34,34,False,4000.0,1663.0,153.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.46,0.53,0.0,2018.0,10.0,23.0,2018,10,23,0.0,91.57488986784142,0.0
35,35,False,9500.0,17071.0,1218.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.27,0.0,0.0,0.0,0.28,0.0,0.32,0.0,0.0,0.64,0.31,0.0,0.0,0.28,0.31,0.0,0.0,2017.0,3.0,17.0,2012,6,28,1723.0,93.34025917218,2.85
36,36,False,12900.0,18644.0,7748.0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.0,0.52,0.27,0.0,0.0,0.0,0.44,0.52,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.23,2017.0,12.0,8.0,2018,5,8,-151.0,70.6426189754471,56.66666666666666
37,37,False,10000.0,4328.0,1223.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.43,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46,2019.0,6.0,27.0,2016,11,8,961.0,77.96793370563863,0.0
38,38,False,4800.0,4109.0,253.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.37,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.46,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,2017.0,11.0,28.0,2017,8,17,103.0,94.19990829894543,4.516666666666667
39,39,False,4800.0,36408.0,1063.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.14,0.0,0.63,0.0,0.0,0.15,0.14,0.35,0.63,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,2016.0,11.0,22.0,2014,5,15,922.0,97.16313949454245,3.083333333333333
40,40,False,6800.0,5163.0,182.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.42,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.43,0.48,0.0,0.0,2018.0,11.0,22.0,2016,4,18,948.0,96.59494855004678,0.0
41,41,False,7000.0,2268.0,82.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.0,0.41,0.0,0.0,0.0,0.28,0.34,0.41,0.38,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2019.0,6.0,27.0,2019,4,5,83.0,96.51063829787235,1.7
42,42,False,9000.0,24505.0,7766.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.27,0.0,0.0,0.0,0.28,0.26,0.0,0.0,0.34,0.32,0.31,0.34,0.0,0.28,0.31,0.0,0.34,2018.0,3.0,29.0,2018,2,13,44.0,75.93505004493198,11.516666666666667
43,43,False,4900.0,4760.0,925.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.35,0.0,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.35,0.4,0.46,0.0,2016.0,11.0,28.0,2016,8,2,118.0,83.72911169744943,6.5
44,44,False,5000.0,16607.0,1662.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.68,0.33,0.0,0.0,0.29,0.33,0.0,0.0,2018.0,10.0,28.0,2012,2,16,2446.0,90.90262192785593,0.8833333333333333
45,45,False,3500.0,74.0,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.41,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.47,0.0,0.5,2018.0,3.0,21.0,2017,10,31,141.0,92.5,0.4666666666666667
46,46,False,24800.0,22742.0,5941.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.23,0.25,0.35,0.0,0.0,0.0,0.0,0.29,0.35,0.32,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2019.0,3.0,24.0,2016,11,28,846.0,79.28738277028205,0.0
47,47,False,11000.0,5396.0,954.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.36,0.35,0.39,0.0,0.0,0.35,0.0,0.38,2017.0,10.0,28.0,2014,6,3,1243.0,84.97637795275591,0.0
48,48,False,3400.0,1685.0,566.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.34,2018.0,2.0,16.0,2008,11,21,3374.0,74.85561972456686,0.0
49,49,True,0.0,14.0,4.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.77,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,11.0,16.0,2016,3,31,595.0,77.77777777777779,0.4
50,50,False,2100.0,2848.0,498.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,9.0,21.0,2016,9,5,381.0,85.11655708308427,0.31666666666666665
51,51,False,11200.0,7052.0,718.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.17,0.47,0.25,0.0,0.0,0.16,0.2,0.47,0.21,0.0,0.19,0.21,0.0,0.0,0.19,0.45,0.21,2017.0,6.0,28.0,2014,6,30,1094.0,90.75933075933077,0.0
52,52,False,6800.0,16482.0,2102.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0.3,0.33,0.45,0.0,0.0,0.0,0.31,0.38,0.45,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,4.0,16.0,2014,11,3,1260.0,88.68919500645717,0.0
53,53,False,6000.0,4850.0,139.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.39,0.0,0.0,0.0,0.4,0.37,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.4,0.45,0.0,0.0,2017.0,12.0,14.0,2017,12,14,0.0,97.2138705151333,1.9833333333333327
54,54,False,16000.0,39351.0,3113.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.29,0.54,0.26,0.29,0.0,0.23,0.26,0.0,0.28,2017.0,9.0,29.0,2016,2,9,598.0,92.6690844009043,14.55
55,55,False,10000.0,1949.0,834.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0,0.34,0.0,0.36,0.0,0.24,0.0,0.34,0.32,0.0,0.0,0.31,0.36,0.0,0.0,0.33,0.31,2017.0,10.0,5.0,2014,9,26,1105.0,70.03233920229968,0.2
56,56,False,6900.0,543.0,92.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26,0.0,0.38,0.37,0.26,0.0,0.0,0.0,0.0,0.31,0.3,0.33,0.37,0.26,0.3,0.0,0.0,2017.0,10.0,28.0,2007,1,12,3942.0,85.51181102362204,3.9333333333333327
57,57,False,4800.0,2805.0,169.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.29,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.36,0.41,0.0,0.0,0.38,0.35,2018.0,4.0,8.0,2013,10,17,1634.0,94.31741761936784,0.0
58,58,False,19200.0,10311.0,1386.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.19,0.0,0.53,0.0,0.19,0.0,0.21,0.0,0.23,0.22,0.21,0.46,0.0,0.19,0.21,0.0,0.23,2018.0,11.0,22.0,2016,1,15,1042.0,88.1508078994614,3.283333333333333
59,59,False,9900.0,4204.0,820.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.15,0.61,0.0,0.21,0.15,0.0,0.17,0.61,0.0,0.0,0.0,0.0,0.21,0.15,0.0,0.2,0.0,2019.0,2.0,10.0,2009,1,8,3685.0,83.67834394904459,0.0
